Anid;Al;Alternate ID;As;Ba;Ca;Ce;Co;Context;Country;Cr;Cs;Dy;Eu;Exterior Decoration;Fe;Hf;Interior Decoration;Investigator;K;La;Latitude (copie);Latitude;Longitude (copie);Longitude;Lu;Material;Mn;Na;Nd;Ni;Nombre d'enregistrements;Period category;Period (groupe) null or not;Period;Rb;Sb;Sc;Site Name;Sm;Source/Excavator/Museum;Sr;State/Province;Ta;Tb;Th;Ti;U;V;Vessel Form;Ware;Yb;Zn;Zr
LGD001;93967,76563;;40,98297;612,53027;12863,5625;103,55278;28,14506;;Peru;76,46515;11,56752;7,36059;1,94077;;61255,28516;6,69203;;Burger, Richard;22413,125;50,10713;-13,1633;-13.1633;-72,5456;-72.5456;0,53216;pottery;1051,87939;12482,31738;45,41647;72,30531;1;Autre;Null, ?, n/a;;139,51582;1,54098;17,62241;Machu Picchu, Cave;9,69903;Doyon, Leon;124,8848;Cuzco Department;1,69819;1,79981;17,38239;8389,38086;3,68916;131,68657;bottle;;3,65811;127,72469;213,8876
LGD002;116552,26563;;10,98282;1019,36224;13841,52539;56,49266;10,77836;;Peru;17,39297;3,1691;3,67417;1,41591;;46764,00781;5,0274;;Burger, Richard;25755,8418;27,86683;-13,1633;-13.1633;-72,5456;-72.5456;0,34546;pottery;939,17621;16230,22949;24,9736;0;1;Autre;Null, ?, n/a;;105,2149;1,35456;9,70581;Machu Picchu, Cave;5,23791;Doyon, Leon;444,13446;Cuzco Department;0,95498;0,71398;8,50704;3291,6604;2,09256;96,67437;jar;;2,24933;81,43422;156,45589
LGD003;85954,29688;;14,38938;723,35852;4377;72,42235;8,59488;;Peru;27,98817;9,97703;4,5113;0,99569;;35815,48047;4,69317;;Burger, Richard;55407,29688;38,39291;-13,1633;-13.1633;-72,5456;-72.5456;0,3564;pottery;348,34689;3667,99854;28,75966;0;1;Autre;Null, ?, n/a;;226,81165;4,50402;9,054;Machu Picchu, Cave;5,47292;Doyon, Leon;92,93449;Cuzco Department;1,44149;0,78923;13,85785;3524,5437;3,32223;81,89991;plate;;2,46605;70,55677;140,16945
LGD004;109709,35156;;9,85188;552,61023;15309,58203;146,93637;22,35713;;Peru;30,15324;9,53466;4,26681;2,00381;;32673,2207;6,96987;;Burger, Richard;13891,95996;52,05032;-13,1633;-13.1633;-72,5456;-72.5456;0,27075;pottery;479,97421;16778,72656;62,06453;63,8314;1;Autre;Null, ?, n/a;;98,72429;0,68198;7,05461;Machu Picchu, Cave;8,82495;Doyon, Leon;584,29053;Cuzco Department;1,15499;0,82281;13,53804;5100,54199;3,35973;82,71318;aryballo;;1,56134;66,01546;213,65359
LGD005;117288,48438;;21,59288;1014,73474;11586,22754;80,548;16,53269;;Peru;90,25816;17,56713;5,08118;1,39396;;50437,8125;4,91099;;Burger, Richard;35682,9375;38,47349;-13,1633;-13.1633;-72,5456;-72.5456;0,48475;pottery;912,61285;8554,875;31,1502;0;1;Autre;Null, ?, n/a;;211,94238;1,0912;21,01771;Machu Picchu, Cave;6,7263;Doyon, Leon;290,84641;Cuzco Department;1,37539;0,88649;16,3085;5128,28174;3,2906;129,19522;plate;;2,50693;110,51169;110,72469
LGD006;95197,82031;;28,67912;678,70917;16698,73438;65,76147;19,04202;;Peru;31,78612;28,2557;5,07892;1,49674;two-handled;51242,27344;5,94877;;Burger, Richard;24767,91211;31,99016;-12,2567;-12.2567;-76,9003;-76.9003;0,4162;pottery;610,34125;14932,31055;26,62179;0;1;Autre;Null, ?, n/a;;127,08511;5,01641;15,3574;Pachacamac;6,52514;Doyon, Leon;245,29738;Lima;0,82709;0,8649;11,31773;5617,11914;3,18059;195,81195;olla;;2,41302;135,63676;155,85495
LGD007;89363,55469;;18,8233;547,89355;19049,49609;48,76163;13,82223;;Peru;24,08764;23,47298;3,12362;1,01214;;40673,39844;5,28514;;Burger, Richard;33921,98828;22,37136;-12,2567;-12.2567;-76,9003;-76.9003;0,29435;pottery;476,07666;19804,25781;18,23577;0;1;Autre;Null, ?, n/a;;102,68346;3,9809;13,4516;Pachacamac;4,58635;Doyon, Leon;348,27072;Lima;0,69502;0,56349;10,68828;4121,33008;3,08057;128,21381;plate;;2,33159;127,85279;156,60095
LGD008;82800,17969;;23,39439;647,06299;29451,39258;60,51241;15,23949;;Peru;25,40255;13,90912;3,79352;1,23013;two-handled;50078,53125;6,42949;;Burger, Richard;21124,99414;28,48642;-12,2567;-12.2567;-76,9003;-76.9003;0,33348;pottery;877,03552;18458,83203;29,65787;0;1;Autre;Null, ?, n/a;;86,24425;2,97016;16,68699;Pachacamac;5,44518;Doyon, Leon;367,21472;Lima;0,67192;0,73229;17,26095;4996,11279;3,11762;159,74083;olla;;2,24914;87,12637;167,27014
LGD009;87219,00781;;20,48713;558,30444;33021,625;60,65569;14,9595;;Peru;30,59538;14,67581;4,14893;1,21966;;54375,16406;9,19475;;Burger, Richard;23971,66406;30,1077;-12,2567;-12.2567;-76,9003;-76.9003;0,39295;pottery;1087,11047;18949,58594;28,80438;0;1;Autre;Null, ?, n/a;;92,49353;2,98299;16,20809;Pachacamac;5,48956;Doyon, Leon;374,73181;Lima;0,87629;0,74791;10,29551;6496,96143;3,11198;172,36433;jar;;2,61528;110,17694;236,25101
LGD010;84438,99219;;7,82852;493,54749;24121,1875;63,99429;11,2861;;Peru;26,86607;6,97687;4,23777;1,18382;;38383,95313;6,05624;;Burger, Richard;18850,23047;31,29412;-12,2567;-12.2567;-76,9003;-76.9003;0,37051;pottery;875,22424;16283,93848;28,27116;0;1;Autre;Null, ?, n/a;;87,1162;1,65815;15,13495;Pachacamac;5,5469;Doyon, Leon;308,99182;Lima;0,82878;0,76396;11,70267;4468,67627;2,91191;129,866;bottle;;2,83513;66,98141;166,98022
